Date_Time,Minute,Status,Min_Class
2020-06-12-19:45:50,45,1,f5
2020-06-12-19:55:25,55,1,f6
2020-06-12-19:56:00,56,1,f6
2020-06-12-20:00:51,0,0,f1
2020-06-12-20:16:00,16,1,f2
2020-06-12-20:18:00,18,0,f2
2020-06-12-20:19:18,19,1,2020-06-12 20:19:18
2020-06-12-20:21:49,21,0,f3
2020-06-12-20:22:35,22,0,f3
2020-06-12-20:31:06,31,0,f4
2020-06-12-20:33:32,33,1,f4
2020-06-12-20:35:32,35,0,f4
2020-06-12-20:40:47,40,1,f5
2020-06-12-20:42:47,42,0,f5
2020-06-12-20:43:40,43,1,f5
2020-06-12-20:47:44,47,0,f5
2020-06-12-20:49:47,49,1,2020-06-12 20:49:47
2020-06-12-20:54:55,54,0,f6
2020-06-12-20:55:35,55,1,f6
2020-06-12-20:55:35,55,1,f6
2020-06-12-21:00:07,0,1,f1
2020-06-12-21:02:07,2,0,f1
2020-06-12-21:32:21,32,1,f4
2020-06-12-21:34:21,34,0,f4
2020-06-12-21:41:20,41,1,f5
2020-06-12-21:47:01,47,0,f5
2020-06-12-21:52:59,52,1,f6
2020-06-12-21:55:06,55,1,f6
2020-06-12-21:57:07,57,0,f6
2020-06-12-21:59:00,59,1,2020-06-12 21:59:00
2020-06-12-22:01:24,1,1,f1
2020-06-12-22:02:32,2,0,f1
2020-06-12-22:02:32,2,0,f1
2020-06-12-22:02:40,2,1,f1
2020-06-12-22:02:40,2,1,f1
2020-06-12-22:06:02,6,0,f1
2020-06-12-22:06:02,6,0,f1
2020-06-12-22:06:15,6,1,f1
2020-06-12-22:07:51,7,1,f1
2020-06-12-22:07:51,7,1,f1
2020-06-12-22:09:51,9,0,2020-06-12 22:09:51
2020-06-12-22:09:51,9,0,2020-06-12 22:09:51
2020-06-12-22:13:21,13,1,f2
2020-06-12-22:13:21,13,1,f2
2020-06-12-22:16:02,16,0,f2
2020-06-12-22:16:02,16,0,f2
2020-06-12-22:18:54,18,1,f2
2020-06-12-22:18:54,18,1,f2
2020-06-12-22:22:16,22,0,f3
2020-06-12-22:22:16,22,0,f3
2020-06-12-22:22:41,22,1,f3
2020-06-12-22:22:41,22,1,f3
2020-06-12-22:29:21,29,0,2020-06-12 22:29:21
2020-06-12-22:30:35,30,1,f4
2020-06-12-22:32:11,32,0,f4
2020-06-12-22:32:11,32,0,f4
2020-06-12-22:34:14,34,1,f4
2020-06-12-22:34:14,34,1,f4
2020-06-12-22:34:41,34,0,f4
2020-06-12-22:35:06,35,0,f4
2020-06-12-22:35:56,35,1,f4
2020-06-12-22:37:36,37,0,f4
2020-06-12-22:37:36,37,0,f4
2020-06-12-22:37:36,37,1,f4
2020-06-12-22:38:07,38,1,f4
2020-06-12-22:41:17,41,0,f5
2020-06-12-22:42:56,42,0,f5
2020-06-12-22:44:19,44,1,f5
2020-06-12-22:45:02,45,1,f5
2020-06-12-22:47:00,47,0,f5
2020-06-12-22:48:10,48,0,f5
2020-06-12-22:48:13,48,1,f5
2020-06-12-22:49:49,49,1,2020-06-12 22:49:49
2020-06-12-22:49:49,49,1,2020-06-12 22:49:49
2020-06-12-22:49:58,49,0,2020-06-12 22:49:58
2020-06-12-22:50:08,50,1,f6
2020-06-12-22:51:01,51,1,f6
2020-06-12-22:54:11,54,0,f6
2020-06-12-22:54:11,54,0,f6
2020-06-12-22:57:12,57,0,f6
2020-06-12-22:57:14,57,1,f6
2020-06-12-23:04:36,4,0,f1
2020-06-12-23:04:52,4,0,f1
2020-06-12-23:04:52,4,0,f1
2020-06-12-23:04:57,4,1,f1
2020-06-12-23:04:57,4,1,f1
2020-06-12-23:08:41,8,1,f1
2020-06-12-23:10:01,10,1,f2
2020-06-12-23:12:45,12,0,f2
2020-06-12-23:17:02,17,1,f2
2020-06-12-23:19:43,19,0,2020-06-12 23:19:43
2020-06-12-23:25:27,25,0,f3
2020-06-12-23:33:25,33,1,f4
2020-06-12-23:35:25,35,0,f4
2020-06-12-23:50:40,50,1,f6
2020-06-12-23:50:40,50,1,f6
2020-06-13-00:02:55,2,1,f1
2020-06-13-00:17:26,17,1,f2
2020-06-13-00:25:43,25,0,f3
2020-06-13-00:31:27,31,0,f4
2020-06-13-00:32:02,32,1,f4
2020-06-13-00:35:31,35,0,f4
2020-06-13-00:35:36,35,1,f4
2020-06-13-00:36:00,36,1,f4
2020-06-13-00:38:25,38,0,f4
2020-06-13-00:47:43,47,1,f5
2020-06-13-00:49:43,49,0,2020-06-13 00:49:43
2020-06-13-00:56:03,56,1,f6
2020-06-13-00:58:33,58,0,f6
2020-06-13-01:05:27,5,1,f1
2020-06-13-01:07:38,7,0,f1
2020-06-13-01:12:21,12,1,f2
2020-06-13-01:14:18,14,1,f2
2020-06-13-01:14:23,14,0,f2
2020-06-13-01:20:57,20,0,f3
2020-06-13-01:22:38,22,1,f3
2020-06-13-01:24:39,24,0,f3
2020-06-13-01:46:30,46,1,f5
2020-06-13-01:48:31,48,0,f5
2020-06-13-01:50:10,50,1,f6
2020-06-13-01:52:10,52,0,f6
2020-06-13-01:56:24,56,1,f6
2020-06-13-02:02:45,2,0,f1
2020-06-13-02:04:49,4,1,f1
2020-06-13-02:06:15,6,1,f1
2020-06-13-02:20:24,20,0,f3
2020-06-13-02:24:47,24,1,f3
2020-06-13-02:26:47,26,0,f3
2020-06-13-02:29:41,29,1,2020-06-13 02:29:41
2020-06-13-02:31:11,31,1,f4
2020-06-13-02:31:41,31,0,f4
2020-06-13-02:34:06,34,0,f4
2020-06-13-02:39:09,39,1,2020-06-13 02:39:09
2020-06-13-02:40:57,40,0,f5
2020-06-13-02:41:09,41,0,f5
2020-06-13-02:42:59,42,1,f5
2020-06-13-02:44:59,44,0,f5
2020-06-13-02:50:57,50,0,f6
2020-06-13-03:02:49,2,1,f1
2020-06-13-03:10:29,10,0,f2
2020-06-13-03:12:41,12,0,f2
2020-06-13-03:12:46,12,1,f2
2020-06-13-03:12:51,12,1,f2
2020-06-13-03:16:26,16,1,f2
2020-06-13-03:20:29,20,0,f3
2020-06-13-03:26:01,26,1,f3
2020-06-13-03:27:18,27,1,f3
2020-06-13-03:28:02,28,0,f3
2020-06-13-03:32:17,32,1,f4
2020-06-13-03:34:17,34,0,f4
2020-06-13-03:52:05,52,0,f6
2020-06-13-03:52:30,52,1,f6
2020-06-13-03:54:30,54,0,f6
2020-06-13-03:58:01,58,1,f6
2020-06-13-03:58:13,58,1,f6
2020-06-13-04:01:11,1,1,f1
2020-06-13-04:01:13,1,0,f1
2020-06-13-04:03:11,3,0,f1
2020-06-13-04:04:10,4,1,f1
2020-06-13-04:04:15,4,1,f1
2020-06-13-04:06:10,6,0,f1
2020-06-13-04:06:31,6,1,f1
2020-06-13-04:08:16,8,0,f1
2020-06-13-04:08:31,8,0,f1
2020-06-13-04:10:44,10,0,f2
2020-06-13-04:11:18,11,0,f2
2020-06-13-04:12:42,12,1,f2
2020-06-13-04:16:32,16,1,f2
2020-06-13-04:17:00,17,1,f2
2020-06-13-04:17:19,17,0,f2
2020-06-13-04:17:30,17,1,f2
2020-06-13-04:19:13,19,0,2020-06-13 04:19:13
2020-06-13-04:19:57,19,1,2020-06-13 04:19:57
2020-06-13-04:20:12,20,1,f3
2020-06-13-04:20:12,20,1,f3
2020-06-13-04:20:22,20,0,f3
2020-06-13-04:21:57,21,0,f3
2020-06-13-04:22:12,22,0,f3
2020-06-13-04:22:12,22,0,f3
2020-06-13-04:24:19,24,0,f3
2020-06-13-04:30:57,30,0,f4
2020-06-13-04:31:37,31,1,f4
2020-06-13-04:32:24,32,1,f4
2020-06-13-04:36:28,36,0,f4
2020-06-13-04:38:46,38,0,f4
2020-06-13-04:41:53,41,1,f5
2020-06-13-04:41:57,41,1,f5
2020-06-13-04:43:57,43,0,f5
2020-06-13-04:48:58,48,0,f5
2020-06-13-05:15:34,15,1,f2
2020-06-13-05:23:53,23,1,f3
