Date_Time,Minute,Status,Min_Class
49336,2020-07-01-12:39:06,39,1,2020-07-01 12:39:06
49337,2020-07-01-12:39:06,39,1,2020-07-01 12:39:06
49338,2020-07-01-12:39:07,39,1,2020-07-01 12:39:07
49339,2020-07-01-12:39:08,39,0,2020-07-01 12:39:08
49340,2020-07-01-12:39:13,39,1,2020-07-01 12:39:13
49341,2020-07-01-12:39:15,39,0,2020-07-01 12:39:15
49342,2020-07-01-12:39:16,39,0,2020-07-01 12:39:16
49343,2020-07-01-12:39:16,39,1,2020-07-01 12:39:16
49344,2020-07-01-12:39:17,39,0,2020-07-01 12:39:17
49345,2020-07-01-12:39:18,39,1,2020-07-01 12:39:18
49346,2020-07-01-12:39:18,39,0,2020-07-01 12:39:18
49347,2020-07-01-12:39:19,39,0,2020-07-01 12:39:19
49348,2020-07-01-12:39:19,39,1,2020-07-01 12:39:19
49349,2020-07-01-12:39:20,39,1,2020-07-01 12:39:20
49350,2020-07-01-12:39:21,39,0,2020-07-01 12:39:21
49351,2020-07-01-12:39:21,39,0,2020-07-01 12:39:21
49352,2020-07-01-12:39:22,39,1,2020-07-01 12:39:22
49353,2020-07-01-12:39:23,39,0,2020-07-01 12:39:23
49354,2020-07-01-12:39:24,39,0,2020-07-01 12:39:24
49355,2020-07-01-12:39:25,39,1,2020-07-01 12:39:25
49356,2020-07-01-12:39:25,39,1,2020-07-01 12:39:25
49357,2020-07-01-12:39:26,39,1,2020-07-01 12:39:26
49358,2020-07-01-12:39:28,39,1,2020-07-01 12:39:28
49359,2020-07-01-12:39:29,39,1,2020-07-01 12:39:29
49360,2020-07-01-12:39:29,39,0,2020-07-01 12:39:29
49361,2020-07-01-12:39:30,39,0,2020-07-01 12:39:30
49362,2020-07-01-12:39:33,39,1,2020-07-01 12:39:33
49363,2020-07-01-12:39:36,39,0,2020-07-01 12:39:36
49364,2020-07-01-12:39:39,39,0,2020-07-01 12:39:39
49365,2020-07-01-12:39:40,39,1,2020-07-01 12:39:40
49366,2020-07-01-12:39:40,39,1,2020-07-01 12:39:40
49367,2020-07-01-12:39:42,39,0,2020-07-01 12:39:42
49368,2020-07-01-12:39:42,39,0,2020-07-01 12:39:42
49369,2020-07-01-12:39:45,39,1,2020-07-01 12:39:45
49370,2020-07-01-12:39:45,39,0,2020-07-01 12:39:45
49371,2020-07-01-12:39:46,39,1,2020-07-01 12:39:46
49372,2020-07-01-12:39:46,39,1,2020-07-01 12:39:46
49373,2020-07-01-12:39:47,39,1,2020-07-01 12:39:47
49374,2020-07-01-12:39:47,39,0,2020-07-01 12:39:47
49375,2020-07-01-12:39:48,39,0,2020-07-01 12:39:48
49376,2020-07-01-12:39:48,39,1,2020-07-01 12:39:48
49377,2020-07-01-12:39:49,39,0,2020-07-01 12:39:49
49378,2020-07-01-12:39:49,39,0,2020-07-01 12:39:49
49379,2020-07-01-12:39:50,39,1,2020-07-01 12:39:50
49380,2020-07-01-12:39:50,39,1,2020-07-01 12:39:50
